,source,target,edge
0,bivalirudin,P05164,has_enzyme
1,urokinase,P39900,has_enzyme
2,pegfilgrastim,P08246,has_enzyme
3,cyclosporine,P33261,has_enzyme
4,cyclosporine,P10635,has_enzyme
5,cyclosporine,P20815,has_enzyme
6,cyclosporine,P08684,has_enzyme
7,octreotide,P05164,has_enzyme
8,octreotide,P08684,has_enzyme
9,oxytocin,P48147,has_enzyme
10,oxytocin,Q9UIQ6,has_enzyme
11,enfuvirtide,P33261,has_enzyme
12,enfuvirtide,P05181,has_enzyme
13,cyanocobalamin,Q96EY8,has_enzyme
14,cyanocobalamin,Q05599,has_enzyme
15,calcitriol,Q07973,has_enzyme
16,calcitriol,P08684,has_enzyme
17,riboflavin,P21397,has_enzyme
18,riboflavin,P42898,has_enzyme
19,thiamine,P13584,has_enzyme
20,thiamine,Q9H3S4,has_enzyme
21,thiamine,O75356,has_enzyme
22,thiamine,Q9BU02,has_enzyme
23,ergocalciferol,Q96AT9,has_enzyme
24,ergocalciferol,P05108,has_enzyme
25,ergocalciferol,Q07973,has_enzyme
26,ergocalciferol,O15528,has_enzyme
27,ergocalciferol,Q02318,has_enzyme
28,ergocalciferol,Q6VVX0,has_enzyme
29,folic acid,Q92820,has_enzyme
30,folic acid,P42898,has_enzyme
31,folic acid,P00374,has_enzyme
32,vitamin a,O43174,has_enzyme
33,vitamin e,P09211,has_enzyme
34,vitamin e,P78417,has_enzyme
35,vitamin e,P21266,has_enzyme
36,vitamin e,P48506,has_enzyme
37,vitamin e,P15559,has_enzyme
38,vitamin e,P09601,has_enzyme
39,vitamin e,P00441,has_enzyme
40,vitamin e,P08684,has_enzyme
41,vitamin e,P09210,has_enzyme
42,pyridoxine,P04798,has_enzyme
43,pyridoxine,O00764,has_enzyme
44,pyridoxine,Q96GD0,has_enzyme
45,pyridoxine,P05186,has_enzyme
46,fluvoxamine,P10635,has_enzyme
47,fluvoxamine,P05177,has_enzyme
48,fluvoxamine,P04798,has_enzyme
49,fluvoxamine,P08684,has_enzyme
50,fluvoxamine,P08684,has_enzyme
51,fluvoxamine,Q9HB55,has_enzyme
52,fluvoxamine,P20815,has_enzyme
53,fluvoxamine,P24462,has_enzyme
54,fluvoxamine,P11712,has_enzyme
55,fluvoxamine,P33261,has_enzyme
56,fluvoxamine,P20813,has_enzyme
57,valsartan,P11712,has_enzyme
58,ramipril,P06276,has_enzyme
59,amphetamine,P11509,has_enzyme
60,amphetamine,P10635,has_enzyme
61,pentagastrin,P06276,has_enzyme
62,lorazepam,P54855,has_enzyme
63,lorazepam,P08684,has_enzyme
64,esmolol,P10635,has_enzyme
65,bortezomib,P08684,has_enzyme
66,bortezomib,P33261,has_enzyme
67,bortezomib,P10635,has_enzyme
68,bortezomib,P05177,has_enzyme
69,bortezomib,P11712,has_enzyme
70,phentermine,P08684,has_enzyme
71,tramadol,P20813,has_enzyme
72,tramadol,P22309,has_enzyme
73,tramadol,P10635,has_enzyme
74,tramadol,P08684,has_enzyme
75,vidarabine,P00813,has_enzyme
76,betaxolol,P10635,has_enzyme
77,betaxolol,P05177,has_enzyme
78,fluconazole,P20815,has_enzyme
79,fluconazole,P08684,has_enzyme
80,fluconazole,P11712,has_enzyme
81,fluconazole,P33261,has_enzyme
82,troglitazone,P11511,has_enzyme
83,troglitazone,P04798,has_enzyme
84,troglitazone,P20813,has_enzyme
85,troglitazone,P11712,has_enzyme
86,troglitazone,P20815,has_enzyme
87,troglitazone,P24462,has_enzyme
88,troglitazone,P35503,has_enzyme
89,troglitazone,P22310,has_enzyme
90,troglitazone,P19224,has_enzyme
91,troglitazone,Q9HAW7,has_enzyme
92,troglitazone,Q9HAW9,has_enzyme
93,troglitazone,O60656,has_enzyme
94,troglitazone,Q9HAW8,has_enzyme
95,troglitazone,P16662,has_enzyme
96,troglitazone,P54855,has_enzyme
97,troglitazone,P08684,has_enzyme
98,troglitazone,P33261,has_enzyme
99,troglitazone,P22309,has_enzyme
100,troglitazone,P10632,has_enzyme
101,oseltamivir,P23141,has_enzyme
102,erythromycin,P20815,has_enzyme
103,erythromycin,P08684,has_enzyme
104,erythromycin,P24462,has_enzyme
105,caffeine,P05177,has_enzyme
106,caffeine,P08684,has_enzyme
107,caffeine,P05181,has_enzyme
108,caffeine,P10632,has_enzyme
109,caffeine,P11712,has_enzyme
110,caffeine,P04798,has_enzyme
111,caffeine,Q16678,has_enzyme
112,caffeine,P10635,has_enzyme
113,succinylcholine,P06276,has_enzyme
114,sildenafil,P08684,has_enzyme
115,sildenafil,P20815,has_enzyme
116,sildenafil,P24462,has_enzyme
117,sildenafil,P11712,has_enzyme
118,sildenafil,P33261,has_enzyme
119,sildenafil,P10635,has_enzyme
120,sildenafil,P05181,has_enzyme
121,dofetilide,P08684,has_enzyme
122,pyrimethamine,P10632,has_enzyme
123,reserpine,P20815,has_enzyme
124,azithromycin,P08684,has_enzyme
125,ticlopidine,P33261,has_enzyme
126,ticlopidine,P10635,has_enzyme
127,ticlopidine,P05164,has_enzyme
128,ticlopidine,P11712,has_enzyme
129,ticlopidine,P10632,has_enzyme
130,ticlopidine,P05177,has_enzyme
131,ticlopidine,P20813,has_enzyme
132,ticlopidine,P05181,has_enzyme
133,trospium,P10635,has_enzyme
134,midodrine,P10635,has_enzyme
135,pantoprazole,P33261,has_enzyme
136,pantoprazole,P08684,has_enzyme
137,citalopram,P08684,has_enzyme
138,citalopram,P33261,has_enzyme
139,citalopram,P10635,has_enzyme
140,citalopram,P05177,has_enzyme
141,eletriptan,P10635,has_enzyme
142,eletriptan,P11712,has_enzyme
143,eletriptan,P33261,has_enzyme
144,eletriptan,P11509,has_enzyme
145,eletriptan,P23219,has_enzyme
146,eletriptan,P08684,has_enzyme
147,moxifloxacin,P05177,has_enzyme
148,nelfinavir,P08684,has_enzyme
149,nelfinavir,P24462,has_enzyme
150,nelfinavir,P20815,has_enzyme
151,nelfinavir,P20813,has_enzyme
152,nelfinavir,P33261,has_enzyme
153,nelfinavir,P22309,has_enzyme
154,nelfinavir,P11712,has_enzyme
155,nelfinavir,P10635,has_enzyme
156,glimepiride,P11712,has_enzyme
157,indinavir,P10635,has_enzyme
158,indinavir,P22309,has_enzyme
159,indinavir,P08684,has_enzyme
160,indinavir,P20815,has_enzyme
161,indinavir,P24462,has_enzyme
162,lovastatin,P08684,has_enzyme
163,lovastatin,Q15166,has_enzyme
164,lovastatin,P10632,has_enzyme
165,lovastatin,P22309,has_enzyme
166,lovastatin,P35503,has_enzyme
167,lovastatin,P16662,has_enzyme
168,lovastatin,P33261,has_enzyme
169,temazepam,P08684,has_enzyme
170,temazepam,P20813,has_enzyme
171,temazepam,P11712,has_enzyme
172,nevirapine,P10635,has_enzyme
173,nevirapine,P05177,has_enzyme
174,nevirapine,P24462,has_enzyme
175,nevirapine,P08684,has_enzyme
176,nevirapine,P20813,has_enzyme
177,nevirapine,P20815,has_enzyme
178,nevirapine,P11712,has_enzyme
179,nevirapine,P11509,has_enzyme
180,cladribine,P27707,has_enzyme
181,ranolazine,P08684,has_enzyme
182,ranolazine,P10635,has_enzyme
183,mesalazine,P18440,has_enzyme
184,ziprasidone,P08684,has_enzyme
185,ziprasidone,Q06278,has_enzyme
186,methysergide,P08684,has_enzyme
187,cabergoline,P08684,has_enzyme
188,dapsone,P05164,has_enzyme
189,dapsone,P33260,has_enzyme
190,dapsone,P11712,has_enzyme
191,dapsone,P05181,has_enzyme
192,dapsone,P08684,has_enzyme
193,dapsone,P31513,has_enzyme
194,dapsone,P23219,has_enzyme
195,dapsone,P35354,has_enzyme
196,dapsone,P10632,has_enzyme
197,dapsone,P33261,has_enzyme
198,dapsone,P11245,has_enzyme
199,dapsone,P20815,has_enzyme
200,dapsone,P24462,has_enzyme
201,phenytoin,P11712,has_enzyme
202,phenytoin,P33261,has_enzyme
203,phenytoin,P10632,has_enzyme
204,phenytoin,P20813,has_enzyme
205,phenytoin,P08684,has_enzyme
206,phenytoin,P20815,has_enzyme
207,phenytoin,P24462,has_enzyme
208,phenytoin,P15538,has_enzyme
209,phenytoin,P22309,has_enzyme
210,phenytoin,P19224,has_enzyme
211,phenytoin,O60656,has_enzyme
212,phenytoin,P05177,has_enzyme
213,phenytoin,P11509,has_enzyme
214,phenytoin,P10635,has_enzyme
215,phenytoin,P05181,has_enzyme
216,phenytoin,P07099,has_enzyme
217,phenytoin,P22310,has_enzyme
218,phenytoin,P21964,has_enzyme
219,phenytoin,P15559,has_enzyme
220,phenytoin,P33260,has_enzyme
221,doxycycline,P08684,has_enzyme
222,clotrimazole,P10632,has_enzyme
223,clotrimazole,P08684,has_enzyme
224,clotrimazole,P20813,has_enzyme
225,clotrimazole,P10635,has_enzyme
226,clotrimazole,P11509,has_enzyme
227,clotrimazole,P11712,has_enzyme
228,clotrimazole,P05181,has_enzyme
229,clotrimazole,P24462,has_enzyme
230,metoprolol,P08684,has_enzyme
231,metoprolol,P10635,has_enzyme
232,ropinirole,P05177,has_enzyme
233,isradipine,P08684,has_enzyme
234,topiramate,P08684,has_enzyme
235,topiramate,P33261,has_enzyme
236,theophylline,P04798,has_enzyme
237,theophylline,Q16678,has_enzyme
238,theophylline,P10635,has_enzyme
239,theophylline,P05177,has_enzyme
240,theophylline,P00813,has_enzyme
241,theophylline,P05181,has_enzyme
242,theophylline,P08684,has_enzyme
243,argatroban,P08684,has_enzyme
244,argatroban,P20815,has_enzyme
245,liothyronine,P22309,has_enzyme
246,disopyramide,P05177,has_enzyme
247,disopyramide,P08684,has_enzyme
248,lidocaine,P08684,has_enzyme
249,lidocaine,P10635,has_enzyme
250,lidocaine,P20815,has_enzyme
251,lidocaine,P24462,has_enzyme
252,lidocaine,P05177,has_enzyme
253,lidocaine,P11712,has_enzyme
